Ceremony,Won,Film,Director,Birthdate
20,FALSE,The Bishop's Wife,Henry Koster,"May 01, 1905"
20,FALSE,Crossfire,Edward Dmytryk,"September 04, 1908"
20,FALSE,A Double Life,George Cukor,"July 07, 1899"
20,TRUE,Gentleman's Agreement,Elia Kazan,"September 07, 1909"
20,FALSE,Great Expectations,David Lean,"March 25, 1908"
21,FALSE,Hamlet,Laurence Olivier,"May 22, 1907"
21,FALSE,Johnny Belinda,Jean Negulesco,"February 29, 1900"
21,FALSE,The Search,Fred Zinnemann,"April 29, 1907"
21,FALSE,The Snake Pit,Anatole Litvak,"May 21, 1902"
21,TRUE,The Treasure of the Sierra Madre,John Huston,"August 05, 1906"
22,FALSE,All the King's Men,Robert Rossen,"March 16, 1908"
22,FALSE,Battleground,William A. Wellman,"February 29, 1896"
22,FALSE,The Fallen Idol,Carol Reed,"December 30, 1906"
22,FALSE,The Heiress,William Wyler,"July 01, 1902"
22,TRUE,A Letter to Three Wives,Joseph L. Mankiewicz,"February 11, 1909"
23,TRUE,All about Eve,Joseph L. Mankiewicz,"February 11, 1909"
23,FALSE,The Asphalt Jungle,John Huston,"August 05, 1906"
23,FALSE,Born Yesterday,George Cukor,"July 07, 1899"
23,FALSE,Sunset Blvd.,Billy Wilder,"June 22, 1906"
23,FALSE,The Third Man,Carol Reed,"December 30, 1906"
24,FALSE,The African Queen,John Huston,"August 05, 1906"
24,FALSE,An American in Paris,Vincente Minnelli,"February 28, 1903"
24,FALSE,Detective Story,William Wyler,"July 01, 1902"
24,TRUE,A Place in the Sun,George Stevens,"December 18, 1904"
24,FALSE,A Streetcar Named Desire,Elia Kazan,"September 07, 1909"
25,FALSE,Five Fingers,Joseph L. Mankiewicz,"February 11, 1909"
25,FALSE,The Greatest Show on Earth,Cecil B. DeMille,"August 12, 1881"
25,FALSE,High Noon,Fred Zinnemann,"April 29, 1907"
25,FALSE,Moulin Rouge,John Huston,"August 05, 1906"
25,TRUE,The Quiet Man,John Ford,"February 01, 1894"
26,TRUE,From Here to Eternity,Fred Zinnemann,"April 29, 1907"
26,FALSE,Lili,Charles Walters,"November 17, 1911"
26,FALSE,Roman Holiday,William Wyler,"July 01, 1902"
26,FALSE,Shane,George Stevens,"December 18, 1904"
26,FALSE,Stalag 17,Billy Wilder,"June 22, 1906"
27,FALSE,The Country Girl,George Seaton,"April 17, 1911"
27,FALSE,The High and the Mighty,William A. Wellman,"February 29, 1896"
27,TRUE,On the Waterfront,Elia Kazan,"September 07, 1909"
27,FALSE,Rear Window,Alfred Hitchcock,"August 13, 1899"
27,FALSE,Sabrina,Billy Wilder,"June 22, 1906"
28,FALSE,Bad Day at Black Rock,John Sturges,"January 03, 1910"
28,FALSE,East of Eden,Elia Kazan,"September 07, 1909"
28,TRUE,Marty,Delbert Mann,"January 30, 1920"
28,FALSE,Picnic,Joshua Logan,"October 05, 1908"
28,FALSE,Summertime,David Lean,"March 25, 1908"
29,FALSE,Around the World in 80 Days,Michael Anderson,"January 30, 1920"
29,FALSE,Friendly Persuasion,William Wyler,"July 01, 1902"
29,TRUE,Giant,George Stevens,"December 18, 1904"
29,FALSE,The King and I,Walter Lang,"August 10, 1896"
29,FALSE,War and Peace,King Vidor,"February 08, 1894"
30,TRUE,The Bridge on the River Kwai,David Lean,"March 25, 1908"
30,FALSE,Peyton Place,Mark Robson,"December 04, 1913"
30,FALSE,Sayonara,Joshua Logan,"October 05, 1908"
30,FALSE,12 Angry Men,Sidney Lumet,"June 25, 1924"
30,FALSE,Witness for the Prosecution,Billy Wilder,"June 22, 1906"
31,FALSE,Cat on a Hot Tin Roof,Richard Brooks,"May 18, 1912"
31,FALSE,The Defiant Ones,Stanley Kramer,"September 29, 1913"
31,TRUE,Gigi,Vincente Minnelli,"February 28, 1903"
31,FALSE,I Want to Live!,Robert Wise,"September 10, 1914"
31,FALSE,The Inn of the Sixth Happiness,Mark Robson,"December 04, 1913"
32,TRUE,Ben-Hur,William Wyler,"July 01, 1902"
32,FALSE,The Diary of Anne Frank,George Stevens,"December 18, 1904"
32,FALSE,The Nun's Story,Fred Zinnemann,"April 29, 1907"
32,FALSE,Room at the Top,Jack Clayton,"March 01, 1921"
32,FALSE,Some Like It Hot,Billy Wilder,"June 22, 1906"
33,TRUE,The Apartment,Billy Wilder,"June 22, 1906"
33,FALSE,Never on Sunday,Jules Dassin,"December 18, 1911"
33,FALSE,Psycho,Alfred Hitchcock,"August 13, 1899"
33,FALSE,Sons and Lovers,Jack Cardiff,"September 18, 1914"
33,FALSE,The Sundowners,Fred Zinnemann,"April 29, 1907"
34,FALSE,The Guns of Navarone,J. Lee Thompson,"August 01, 1914"
34,FALSE,The Hustler,Robert Rossen,"March 16, 1908"
34,FALSE,Judgment at Nuremberg,Stanley Kramer,"September 29, 1913"
34,FALSE,La Dolce Vita,Federico Fellini,"January 20, 1920"
34,TRUE,West Side Story,Robert Wise*,"September 10, 1914"
34,TRUE,West Side Story,Jerome Robbins*,"October 11, 1918"
35,FALSE,David and Lisa,Frank Perry,"August 21, 1930"
35,FALSE,Divorce--Italian Style,Pietro Germi,"September 14, 1914"
35,TRUE,Lawrence of Arabia,David Lean,"March 25, 1908"
35,FALSE,The Miracle Worker,Arthur Penn,"September 27, 1922"
35,FALSE,To Kill a Mockingbird,Robert Mulligan,"August 23, 1925"
36,FALSE,America America,Elia Kazan,"September 07, 1909"
36,FALSE,The Cardinal,Otto Preminger,"December 05, 1905"
36,FALSE,Federico Fellini's 8-1/2,Federico Fellini,"January 20, 1920"
36,FALSE,Hud,Martin Ritt,"March 02, 1914"
36,TRUE,Tom Jones,Tony Richardson,"June 05, 1928"
37,FALSE,Becket,Peter Glenville,"October 28, 1913"
37,FALSE,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Stanley Kubrick,"July 26, 1928"
37,FALSE,Mary Poppins,Robert Stevenson,"March 31, 1905"
37,TRUE,My Fair Lady,George Cukor,"July 07, 1899"
37,FALSE,Zorba the Greek,Michael Cacoyannis,"June 11, 1922"
38,FALSE,The Collector,William Wyler,"July 01, 1902"
38,FALSE,Darling,John Schlesinger,"February 16, 1926"
38,FALSE,Doctor Zhivago,David Lean,"March 25, 1908"
38,TRUE,The Sound of Music,Robert Wise,"September 10, 1914"
38,FALSE,Woman in the Dunes,Hiroshi Teshigahara,"January 28, 1927"
39,FALSE,Blow-Up,Michelangelo Antonioni,"September 29, 1912"
39,FALSE,A Man and a Woman,Claude Lelouch,"October 30, 1937"
39,TRUE,A Man for All Seasons,Fred Zinnemann,"April 29, 1907"
39,FALSE,The Professionals,Richard Brooks,"May 18, 1912"
39,FALSE,Who's Afraid of Virginia Woolf?,Mike Nichols,"November 06, 1931"
40,FALSE,Bonnie and Clyde,Arthur Penn,"September 27, 1922"
40,TRUE,The Graduate,Mike Nichols,"November 06, 1931"
40,FALSE,Guess Who's Coming to Dinner,Stanley Kramer,"September 29, 1913"
40,FALSE,In Cold Blood,Richard Brooks,"May 18, 1912"
40,FALSE,In the Heat of the Night,Norman Jewison,"July 21, 1926"
41,FALSE,The Battle of Algiers,Gillo Pontecorvo,"November 19, 1919"
41,FALSE,The Lion in Winter,Anthony Harvey,"June 03, 1930"
41,TRUE,Oliver!,Carol Reed,"December 30, 1906"
41,FALSE,Romeo and Juliet,Franco Zeffirelli,"February 12, 1923"
41,FALSE,2001: A Space Odyssey,Stanley Kubrick,"July 26, 1928"
42,FALSE,Alice's Restaurant,Arthur Penn,"September 27, 1922"
42,FALSE,Butch Cassidy and the Sundance Kid,George Roy Hill,"December 20, 1921"
42,TRUE,Midnight Cowboy,John Schlesinger,"February 16, 1926"
42,FALSE,"They Shoot Horses, Don't They?",Sydney Pollack,"July 01, 1934"
42,FALSE,Z,Costa-Gavras,"February 12, 1933"
43,FALSE,Fellini Satyricon,Federico Fellini,"January 20, 1920"
43,FALSE,Love Story,Arthur Hiller,"November 22, 1923"
43,FALSE,M*A*S*H,Robert Altman,"February 20, 1925"
43,TRUE,Patton,Franklin J. Schaffner,"May 30, 1920"
43,FALSE,Women in Love,Ken Russell,"July 03, 1927"
44,FALSE,A Clockwork Orange,Stanley Kubrick,"July 26, 1928"
44,FALSE,Fiddler on the Roof,Norman Jewison,"July 21, 1926"
44,TRUE,The French Connection,William Friedkin,"August 29, 1935"
44,FALSE,The Last Picture Show,Peter Bogdanovich,"July 30, 1939"
44,FALSE,Sunday Bloody Sunday,John Schlesinger,"February 16, 1926"
45,TRUE,Cabaret,Bob Fosse,"June 23, 1927"
45,FALSE,Deliverance,John Boorman,"January 18, 1933"
45,FALSE,The Emigrants,Jan Troell,"July 23, 1931"
45,FALSE,The Godfather,Francis Ford Coppola,"April 07, 1939"
45,FALSE,Sleuth,Joseph L. Mankiewicz,"February 11, 1909"
46,FALSE,American Graffiti,George Lucas,"May 14, 1944"
46,FALSE,Cries and Whispers,Ingmar Bergman,"July 14, 1918"
46,FALSE,The Exorcist,William Friedkin,"August 29, 1935"
46,FALSE,Last Tango in Paris,Bernardo Bertolucci,"March 16, 1941"
46,TRUE,The Sting,George Roy Hill,"December 20, 1921"
47,FALSE,Chinatown,Roman Polanski,"August 18, 1933"
47,FALSE,Day for Night,Francois Truffaut,"February 06, 1932"
47,TRUE,The Godfather Part II,Francis Ford Coppola,"April 07, 1939"
47,FALSE,Lenny,Bob Fosse,"June 23, 1927"
47,FALSE,A Woman under the Influence,John Cassavetes,"December 09, 1929"
48,FALSE,Amarcord,Federico Fellini,"January 20, 1920"
48,FALSE,Barry Lyndon,Stanley Kubrick,"July 26, 1928"
48,FALSE,Dog Day Afternoon,Sidney Lumet,"June 25, 1924"
48,FALSE,Nashville,Robert Altman,"February 20, 1925"
48,TRUE,One Flew over the Cuckoo's Nest,Milos Forman,"February 18, 1932"
49,FALSE,All the President's Men,Alan J. Pakula,"April 07, 1928"
49,FALSE,Face to Face,Ingmar Bergman,"July 14, 1918"
49,FALSE,Network,Sidney Lumet,"June 25, 1924"
49,TRUE,Rocky,John G. Avildsen,"December 21, 1935"
49,FALSE,Seven Beauties,Lina Wertmuller,"August 14, 1928"
50,TRUE,Annie Hall,Woody Allen,"December 01, 1935"
50,FALSE,Close Encounters of the Third Kind,Steven Spielberg,"December 18, 1946"
50,FALSE,Julia,Fred Zinnemann,"April 29, 1907"
50,FALSE,Star Wars,George Lucas,"May 14, 1944"
50,FALSE,The Turning Point,Herbert Ross,"May 13, 1927"
51,FALSE,Coming Home,Hal Ashby,"September 02, 1929"
51,TRUE,The Deer Hunter,Michael Cimino,"February 03, 1939"
51,FALSE,Heaven Can Wait,Warren Beatty*,"March 30, 1937"
51,FALSE,Heaven Can Wait,Buck Henry*,"March 30, 1937"
51,FALSE,Interiors,Woody Allen,"December 01, 1935"
51,FALSE,Midnight Express,Alan Parker,"February 14, 1944"
52,FALSE,All That Jazz,Bob Fosse,"June 23, 1927"
52,FALSE,Apocalypse Now,Francis Ford Coppola,"April 07, 1939"
52,FALSE,Breaking Away,Peter Yates,"July 24, 1929"
52,TRUE,Kramer vs. Kramer,Robert Benton,"September 29, 1932"
52,FALSE,La Cage aux Folles,Edouard Molinaro,"May 13, 1928"
53,FALSE,The Elephant Man,David Lynch,"January 20, 1946"
53,TRUE,Ordinary People,Robert Redford,"August 18, 1936"
53,FALSE,Raging Bull,Martin Scorsese,"November 17, 1942"
53,FALSE,The Stunt Man,Richard Rush,"April 15, 1929"
53,FALSE,Tess,Roman Polanski,"August 18, 1933"
54,FALSE,Atlantic City,Louis Malle,"October 30, 1932"
54,FALSE,Chariots of Fire,Hugh Hudson,"August 25, 1936"
54,FALSE,On Golden Pond,Mark Rydell,"March 23, 1929"
54,FALSE,Raiders of the Lost Ark,Steven Spielberg,"December 18, 1946"
54,TRUE,Reds,Warren Beatty,"March 30, 1937"
55,FALSE,Das Boot,Wolfgang Petersen,"March 14, 1941"
55,FALSE,E.T. The Extra-Terrestrial,Steven Spielberg,"December 18, 1946"
55,TRUE,Gandhi,Richard Attenborough,"August 29, 1923"
55,FALSE,Tootsie,Sydney Pollack,"July 01, 1934"
55,FALSE,The Verdict,Sidney Lumet,"June 25, 1924"
56,FALSE,The Dresser,Peter Yates,"July 24, 1929"
56,FALSE,Fanny & Alexander,Ingmar Bergman,"July 14, 1918"
56,FALSE,Silkwood,Mike Nichols,"November 06, 1931"
56,FALSE,Tender Mercies,Bruce Beresford,"August 16, 1940"
56,TRUE,Terms of Endearment,James L. Brooks,"May 09, 1940"
57,TRUE,Amadeus,Milos Forman,"February 18, 1932"
57,FALSE,Broadway Danny Rose,Woody Allen,"December 01, 1935"
57,FALSE,The Killing Fields,Roland Joffe,"November 17, 1945"
57,FALSE,A Passage to India,David Lean,"March 25, 1908"
57,FALSE,Places in the Heart,Robert Benton,"September 29, 1932"
58,FALSE,Kiss of the Spider Woman,Hector Babenco,"February 07, 1946"
58,TRUE,Out of Africa,Sydney Pollack,"July 01, 1934"
58,FALSE,Prizzi's Honor,John Huston,"August 05, 1906"
58,FALSE,Ran,Akira Kurosawa,"March 23, 1910"
58,FALSE,Witness,Peter Weir,"August 21, 1944"
59,FALSE,Blue Velvet,David Lynch,"January 20, 1946"
59,FALSE,Hannah and Her Sisters,Woody Allen,"December 01, 1935"
59,FALSE,The Mission,Roland Joffe,"November 17, 1945"
59,TRUE,Platoon,Oliver Stone,"September 15, 1946"
59,FALSE,A Room with a View,James Ivory,"June 07, 1928"
60,FALSE,Fatal Attraction,Adrian Lyne,"March 04, 1941"
60,FALSE,Hope and Glory,John Boorman,"January 18, 1933"
60,TRUE,The Last Emperor,Bernardo Bertolucci,"March 16, 1941"
60,FALSE,Moonstruck,Norman Jewison,"July 21, 1926"
60,FALSE,My Life as a Dog,Lasse Hallstrom,"June 02, 1946"
61,FALSE,A Fish Called Wanda,Charles Crichton,"August 06, 1910"
61,FALSE,The Last Temptation of Christ,Martin Scorsese,"November 17, 1942"
61,FALSE,Mississippi Burning,Alan Parker,"February 14, 1944"
61,TRUE,Rain Man,Barry Levinson,"April 06, 1942"
61,FALSE,Working Girl,Mike Nichols,"November 06, 1931"
62,TRUE,Born on the Fourth of July,Oliver Stone,"September 15, 1946"
62,FALSE,Crimes and Misdemeanors,Woody Allen,"December 01, 1935"
62,FALSE,Dead Poets Society,Peter Weir,"August 21, 1944"
62,FALSE,Henry V,Kenneth Branagh,"December 10, 1960"
62,FALSE,My Left Foot,Jim Sheridan,"February 06, 1949"
63,TRUE,Dances With Wolves,Kevin Costner,"January 18, 1955"
63,FALSE,"The Godfather, Part III",Francis Ford Coppola,"April 07, 1939"
63,FALSE,Good Fellas,Martin Scorsese,"November 17, 1942"
63,FALSE,The Grifters,Stephen Frears,"June 20, 1941"
63,FALSE,Reversal of Fortune,Barbet Schroeder,"August 26, 1941"
64,FALSE,Boyz N the Hood,John Singleton,"January 06, 1968"
64,FALSE,Bugsy,Barry Levinson,"April 06, 1942"
64,FALSE,JFK,Oliver Stone,"September 15, 1946"
64,TRUE,The Silence of the Lambs,Jonathan Demme,"February 22, 1944"
64,FALSE,Thelma & Louise,Ridley Scott,"November 30, 1937"
65,FALSE,The Crying Game,Neil Jordan,"February 25, 1950"
65,FALSE,Howards End,James Ivory,"June 07, 1928"
65,FALSE,The Player,Robert Altman,"February 20, 1925"
65,FALSE,Scent of a Woman,Martin Brest,"August 08, 1951"
65,TRUE,Unforgiven,Clint Eastwood,"May 31, 1930"
66,FALSE,In the Name of the Father,Jim Sheridan,"February 06, 1949"
66,FALSE,The Piano,Jane Campion,"April 30, 1954"
66,FALSE,The Remains of the Day,James Ivory,"June 07, 1928"
66,TRUE,Schindler's List,Steven Spielberg,"December 18, 1946"
66,FALSE,Short Cuts,Robert Altman,"February 20, 1925"
67,FALSE,Bullets over Broadway,Woody Allen,"December 01, 1935"
67,TRUE,Forrest Gump,Robert Zemeckis,"May 14, 1952"
67,FALSE,Pulp Fiction,Quentin Tarantino,"March 27, 1963"
67,FALSE,Quiz Show,Robert Redford,"August 18, 1936"
67,FALSE,Red,Krzysztof Kieslowski,"June 27, 1941"
68,FALSE,Babe,Chris Noonan,"November 14, 1952"
68,TRUE,Braveheart,Mel Gibson,"January 03, 1956"
68,FALSE,Dead Man Walking,Tim Robbins,"October 16, 1958"
68,FALSE,Leaving Las Vegas,Mike Figgis,"February 28, 1948"
68,FALSE,The Postman (Il Postino),Michael Radford,"February 24, 1946"
69,TRUE,The English Patient,Anthony Minghella,"January 06, 1954"
69,FALSE,Fargo,Joel Coen,"November 29, 1954"
69,FALSE,The People vs. Larry Flynt,Milos Forman,"February 18, 1932"
69,FALSE,Secrets & Lies,Mike Leigh,"February 20, 1943"
69,FALSE,Shine,Scott Hicks,"March 04, 1953"
70,FALSE,The Full Monty,Peter Cattaneo,"July 01, 1964"
70,FALSE,Good Will Hunting,Gus Van Sant,"July 24, 1952"
70,FALSE,L.A. Confidential,Curtis Hanson,"March 24, 1945"
70,FALSE,The Sweet Hereafter,Atom Egoyan,"July 19, 1960"
70,TRUE,Titanic,James Cameron,"August 16, 1954"
71,FALSE,Life Is Beautiful,Roberto Benigni,"October 27, 1952"
71,TRUE,Saving Private Ryan,Steven Spielberg,"December 18, 1946"
71,FALSE,Shakespeare in Love,John Madden,"April 08, 1949"
71,FALSE,The Thin Red Line,Terrence Malick,"November 30, 1943"
71,FALSE,The Truman Show,Peter Weir,"August 21, 1944"
72,TRUE,American Beauty,Sam Mendes,"August 01, 1965"
72,FALSE,Being John Malkovich,Spike Jonze,"October 22, 1969"
72,FALSE,The Cider House Rules,Lasse Hallstrom,"June 02, 1946"
72,FALSE,The Insider,Michael Mann,"February 05, 1943"
72,FALSE,The Sixth Sense,M. Night Shyamalan,"August 06, 1970"
73,FALSE,Billy Elliot,Stephen Daldry,"May 02, 1960"
73,FALSE,"Crouching Tiger, Hidden Dragon",Ang Lee,"October 23, 1954"
73,FALSE,Erin Brockovich,Steven Soderbergh,"January 14, 1963"
73,FALSE,Gladiator,Ridley Scott,"November 30, 1937"
73,TRUE,Traffic,Steven Soderbergh,"January 14, 1963"
74,TRUE,A Beautiful Mind,Ron Howard,"March 01, 1954"
74,FALSE,Black Hawk Down,Ridley Scott,"November 30, 1937"
74,FALSE,Gosford Park,Robert Altman,"February 20, 1925"
74,FALSE,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,"October 31, 1961"
74,FALSE,Mulholland Drive,David Lynch,"January 20, 1946"
75,FALSE,Chicago,Rob Marshall,"October 17, 1960"
75,FALSE,Gangs of New York,Martin Scorsese,"November 17, 1942"
75,FALSE,The Hours,Stephen Daldry,"May 02, 1960"
75,TRUE,The Pianist,Roman Polanski,"August 18, 1933"
75,FALSE,Talk to Her,Pedro Almodovar,"September 25, 1949"
76,FALSE,City of God,Fernando Meirelles,"November 09, 1955"
76,TRUE,The Lord of the Rings: The Return of the King,Peter Jackson,"October 31, 1961"
76,FALSE,Lost in Translation,Sofia Coppola,"May 14, 1971"
76,FALSE,Master and Commander: The Far Side of the World,Peter Weir,"August 21, 1944"
76,FALSE,Mystic River,Clint Eastwood,"May 31, 1930"
77,FALSE,The Aviator,Martin Scorsese,"November 17, 1942"
77,TRUE,Million Dollar Baby,Clint Eastwood,"May 31, 1930"
77,FALSE,Ray,Taylor Hackford,"December 31, 1944"
77,FALSE,Sideways,Alexander Payne,"February 10, 1961"
77,FALSE,Vera Drake,Mike Leigh,"February 20, 1943"
78,TRUE,Brokeback Mountain,Ang Lee,"October 23, 1954"
78,FALSE,Capote,Bennett Miller,"December 30, 1966"
78,FALSE,Crash,Paul Haggis,"March 10, 1953"
78,FALSE,"Good Night, and Good Luck.",George Clooney,"May 06, 1961"
78,FALSE,Munich,Steven Spielberg,"December 18, 1946"
79,FALSE,Babel,Alejandro G. Inarritu,"August 15, 1963"
79,TRUE,The Departed,Martin Scorsese,"November 17, 1942"
79,FALSE,Letters from Iwo Jima,Clint Eastwood,"May 31, 1930"
79,FALSE,The Queen,Stephen Frears,"June 20, 1941"
79,FALSE,United 93,Paul Greengrass,"August 13, 1955"
80,FALSE,The Diving Bell and the Butterfly,Julian Schnabel,"October 26, 1951"
80,FALSE,Juno,Jason Reitman,"October 19, 1977"
80,FALSE,Michael Clayton,Tony Gilroy,"September 11, 1956"
80,TRUE,No Country for Old Men,Joel Coen*,"November 29, 1954"
80,TRUE,No Country for Old Men,Ethan Coen*,"September 21, 1957"
80,FALSE,There Will Be Blood,Paul Thomas Anderson,"June 26, 1970"
81,FALSE,The Curious Case of Benjamin Button,David Fincher,"August 28, 1962"
81,FALSE,Frost/Nixon,Ron Howard,"March 01, 1954"
81,FALSE,Milk,Gus Van Sant,"July 24, 1952"
81,FALSE,The Reader,Stephen Daldry,"May 02, 1960"
81,TRUE,Slumdog Millionaire,Danny Boyle,"October 20, 1956"
82,FALSE,Avatar,James Cameron,"August 16, 1954"
82,TRUE,The Hurt Locker,Kathryn Bigelow,"November 27, 1951"
82,FALSE,Inglourious Basterds,Quentin Tarantino,"March 27, 1963"
82,FALSE,Precious: Based on the Novel 'Push' by Sapphire,Lee Daniels,"December 24, 1959"
82,FALSE,Up in the Air,Jason Reitman,"October 19, 1977"
83,FALSE,Black Swan,Darren Aronofsky,"February 12, 1969"
83,FALSE,The Fighter,David O. Russell,"August 20, 1958"
83,TRUE,The King's Speech,Tom Hooper,"October 05, 1972"
83,FALSE,The Social Network,David Fincher,"August 28, 1962"
83,FALSE,True Grit,Joel Coen*,"November 29, 1954"
83,FALSE,True Grit,Ethan Coen*,"September 21, 1957"
84,TRUE,The Artist,Michel Hazanavicius,"March 29, 1967"
84,FALSE,The Descendants,Alexander Payne,"February 10, 1961"
84,FALSE,Hugo,Martin Scorsese,"November 17, 1942"
84,FALSE,Midnight in Paris,Woody Allen,"December 01, 1935"
84,FALSE,The Tree of Life,Terrence Malick,"November 30, 1943"
